A,B,D,synteny,Expressed
TraesCS3A01G389800,TraesCS3B01G419000,TraesCS3D01G379900,syntenic,TRUE
TraesCS5A01G069600,TraesCS5B01G075900,TraesCS5D01G081800,syntenic,TRUE
TraesCS3A01G124100,TraesCS3B01G143800,TraesCS3D01G125600,syntenic,TRUE
TraesCS2A01G211200,TraesCS2B01G236800,TraesCS2D01G217400,syntenic,TRUE
TraesCS2A01G211300,TraesCS2B01G236900,TraesCS2D01G217500,syntenic,TRUE
TraesCS4A01G236800,TraesCS4B01G078200,TraesCS4D01G076800,syntenic,TRUE
TraesCS5A01G072100,TraesCS5B01G078800,TraesCS5D01G084800,syntenic,TRUE
TraesCS7A01G232800,TraesCS7B01G131300,TraesCS7D01G233000,syntenic,TRUE
TraesCS6A01G079800,TraesCS6B01G107500,TraesCS6D01G073400,syntenic,FALSE
TraesCS6A01G319900,TraesCS6B01G350700,TraesCS6D01G299400,syntenic,TRUE
TraesCS5A01G204100,TraesCS5B01G204100,TraesCS5D01G212000,syntenic,TRUE
TraesCS7A01G269600,TraesCS7B01G167800,TraesCS7D01G270100,syntenic,TRUE
TraesCS5A01G312500,TraesCS5B01G313500,TraesCS5D01G319300,syntenic,TRUE
TraesCS4A01G295300,TraesCS4B01G018400,TraesCS4D01G016600,syntenic,TRUE
TraesCS4A01G142700,TraesCS4B01G155500,TraesCS4D01G168500,non-syntenic,TRUE
TraesCS2A01G113800,TraesCS2B01G132800,TraesCS2D01G114400,syntenic,TRUE
TraesCS2A01G317300,TraesCS2B01G335000,TraesCS2D01G315200,syntenic,TRUE
TraesCS6A01G001500,TraesCS6B01G006200,TraesCS6D01G004300,syntenic,TRUE
TraesCS5A01G263600,TraesCS5B01G263000,TraesCS5D01G271200,syntenic,TRUE
TraesCS7A01G244900,TraesCS7B01G146500,TraesCS7D01G243600,syntenic,TRUE
TraesCS1A01G429100,TraesCS1B01G463900,TraesCS1D01G438600,syntenic,TRUE
TraesCS5A01G108500,TraesCS5B01G114300,TraesCS5D01G121100,syntenic,TRUE
TraesCS6A01G214800,TraesCS6B01G244600,TraesCS6D01G197300,syntenic,TRUE
TraesCS1A01G309200,TraesCS1B01G320000,TraesCS1D01G308600,syntenic,TRUE
TraesCS7A01G211500,TraesCS7B01G118500,TraesCS7D01G213200,syntenic,TRUE
TraesCS6A01G288900,TraesCS6B01G318700,TraesCS6D01G270000,syntenic,TRUE
TraesCS5A01G015800,TraesCS5B01G014100,TraesCS5D01G021800,syntenic,TRUE
TraesCS1A01G338700,TraesCS1B01G351200,TraesCS1D01G340900,syntenic,TRUE
TraesCS3A01G273600,TraesCS3B01G307300,TraesCS3D01G272900,syntenic,TRUE
TraesCS7A01G208300,TraesCS7B01G115500,TraesCS7D01G210700,syntenic,TRUE
TraesCS6A01G169400,TraesCS6B01G197400,TraesCS6D01G159300,syntenic,TRUE
TraesCS4A01G368100,TraesCS5B01G504600,TraesCS5D01G505300,syntenic,TRUE
TraesCS1A01G279500,TraesCS1B01G288600,TraesCS1D01G278800,syntenic,TRUE
TraesCS4A01G057400,TraesCS4B01G247600,TraesCS4D01G246900,syntenic,TRUE
TraesCS2A01G136700,TraesCS2B01G160600,TraesCS2D01G139400,syntenic,TRUE
TraesCS2A01G136800,TraesCS2B01G160700,TraesCS2D01G139500,syntenic,TRUE
TraesCS3A01G144000,TraesCS3B01G170600,TraesCS3D01G152400,syntenic,TRUE
TraesCS3A01G348300,TraesCS3B01G380200,TraesCS3D01G341900,syntenic,TRUE
TraesCS2A01G357600,TraesCS2B01G376800,TraesCS2D01G356400,syntenic,TRUE
TraesCS3A01G137300,TraesCS3B01G155100,TraesCS3D01G138100,syntenic,TRUE
TraesCS1A01G426800,TraesCS1B01G461700,TraesCS1D01G436600,syntenic,TRUE
TraesCS6A01G263200,TraesCS6B01G290300,TraesCS6D01G243700,syntenic,TRUE
TraesCS3A01G451000,TraesCS3B01G488400,TraesCS3D01G443900,syntenic,TRUE
TraesCS6A01G404600,TraesCS6B01G448900,TraesCS6D01G387900,syntenic,TRUE
TraesCS6A01G217000,TraesCS6B01G245800,TraesCS6D01G198500,syntenic,TRUE
TraesCS7A01G428700,TraesCS7B01G328900,TraesCS7D01G421000,syntenic,TRUE
TraesCS6A01G189700,TraesCS6B01G218500,TraesCS6D01G180000,non-syntenic,TRUE
TraesCS6A01G037900,TraesCS6B01G052900,TraesCS6D01G043400,syntenic,TRUE
TraesCS1A01G248100,TraesCS1B01G258600,TraesCS1D01G247500,syntenic,TRUE
TraesCS7A01G339200,TraesCS7B01G250600,TraesCS7D01G346600,syntenic,FALSE
TraesCS2A01G409800,TraesCS2B01G428200,TraesCS2D01G407100,syntenic,TRUE
TraesCS5A01G460400,TraesCS5B01G470200,TraesCS5D01G472100,syntenic,TRUE
TraesCS4A01G319500,TraesCS5B01G559600,TraesCS5D01G565800,syntenic,TRUE
TraesCS4A01G079200,TraesCS4B01G245000,TraesCS4D01G244400,syntenic,TRUE
TraesCS1A01G251000,TraesCS1B01G261600,TraesCS1D01G250600,syntenic,TRUE
TraesCS5A01G245200,TraesCS5B01G242700,TraesCS5D01G251800,syntenic,TRUE
TraesCS3A01G179800,TraesCS3B01G209500,TraesCS3D01G184700,syntenic,TRUE
TraesCS5A01G059900,TraesCS5B01G067200,TraesCS5D01G071400,syntenic,TRUE
TraesCS5A01G156800,TraesCS5B01G155000,TraesCS5D01G162200,syntenic,TRUE
TraesCS2A01G446300,TraesCS2B01G467300,TraesCS2D01G445400,syntenic,TRUE
TraesCS4A01G263900,TraesCS4B01G051300,TraesCS4D01G051400,syntenic,TRUE
TraesCS5A01G156900,TraesCS5B01G155100,TraesCS5D01G162300,syntenic,TRUE
TraesCS5A01G328000,TraesCS5B01G328000,TraesCS5D01G333900,syntenic,TRUE
TraesCS5A01G327600,TraesCS5B01G327500,TraesCS5D01G333500,syntenic,TRUE
TraesCS2A01G537100,TraesCS2B01G567600,TraesCS2D01G538300,syntenic,TRUE
TraesCS4A01G268300,TraesCS4B01G045900,TraesCS4D01G046100,syntenic,TRUE
TraesCS3A01G207500,TraesCS3B01G234700,TraesCS3D01G208000,non-syntenic,TRUE
TraesCS4A01G193700,TraesCS4B01G121400,TraesCS4D01G119600,syntenic,TRUE
TraesCS5A01G176400,TraesCS5B01G173500,TraesCS5D01G180500,syntenic,TRUE
TraesCS5A01G529200,TraesCS4B01G361000,TraesCS4D01G354000,syntenic,TRUE
TraesCS5A01G083200,TraesCS5B01G089300,TraesCS5D01G095700,syntenic,TRUE
TraesCS1A01G035300,TraesCS1B01G045100,TraesCS1D01G036800,syntenic,TRUE
TraesCS5A01G302800,TraesCS5B01G303100,TraesCS5D01G309600,syntenic,TRUE
TraesCS6A01G309600,TraesCS6B01G339400,TraesCS6D01G289000,syntenic,TRUE
TraesCS6A01G409200,TraesCS6B01G455100,TraesCS6D01G392800,syntenic,TRUE
TraesCS5A01G144000,TraesCS5B01G143100,TraesCS5D01G148000,syntenic,TRUE
TraesCS4A01G191300,TraesCS4B01G124000,TraesCS4D01G122000,syntenic,TRUE
TraesCS1A01G302500,TraesCS1B01G312700,TraesCS1D01G301900,syntenic,TRUE
TraesCS6A01G102300,TraesCS6B01G130700,TraesCS6D01G090900,syntenic,TRUE
TraesCS7A01G353500,TraesCS7B01G274100,TraesCS7D01G369300,syntenic,TRUE
TraesCS6A01G018600,TraesCS6B01G026900,TraesCS6D01G022800,syntenic,TRUE
TraesCS7A01G338300,TraesCS7B01G249500,TraesCS7D01G345500,syntenic,TRUE
TraesCS6A01G287800,TraesCS6B01G317200,TraesCS6D01G268500,syntenic,TRUE
TraesCS5A01G538100,TraesCS4B01G375000,TraesCS4D01G362300,syntenic,TRUE
TraesCS5A01G208200,TraesCS5B01G206200,TraesCS5D01G214200,syntenic,TRUE
TraesCS7A01G286400,TraesCS7B01G196800,TraesCS7D01G283700,non-syntenic,TRUE
TraesCS6A01G002500,TraesCS6B01G007300,TraesCS6D01G003300,syntenic,TRUE
TraesCS2A01G490300,TraesCS2B01G518600,TraesCS2D01G490700,syntenic,TRUE
TraesCS6A01G045200,TraesCS6B01G060600,TraesCS6D01G051500,syntenic,TRUE
TraesCS3A01G024200,TraesCS3B01G020700,TraesCS3D01G022100,syntenic,TRUE
TraesCS3A01G024300,TraesCS3B01G020500,TraesCS3D01G022000,syntenic,TRUE
TraesCS7A01G122900,TraesCS7B01G022000,TraesCS7D01G121100,syntenic,TRUE
TraesCS1A01G227700,TraesCS1B01G242000,TraesCS1D01G229400,syntenic,TRUE
TraesCS4A01G060800,TraesCS4B01G236200,TraesCS4D01G237600,syntenic,TRUE
TraesCS2A01G520200,TraesCS2B01G549400,TraesCS2D01G521400,syntenic,TRUE
TraesCS5A01G237200,TraesCS5B01G235600,TraesCS5D01G244500,syntenic,TRUE
TraesCS6A01G214300,TraesCS6B01G244300,TraesCS6D01G197000,syntenic,TRUE
TraesCS7A01G362600,TraesCS7B01G266000,TraesCS7D01G360500,syntenic,TRUE
TraesCS2A01G214900,TraesCS2B01G239900,TraesCS2D01G220700,syntenic,TRUE
TraesCS4A01G038200,TraesCS4B01G267500,TraesCS4D01G267100,syntenic,TRUE
TraesCS4A01G107900,TraesCS4B01G196700,TraesCS4D01G197000,syntenic,TRUE
TraesCS3A01G317000,TraesCS3B01G349400,TraesCS3D01G314200,syntenic,TRUE
TraesCS2A01G272000,TraesCS2B01G290200,TraesCS2D01G271300,syntenic,TRUE
TraesCS7A01G232000,TraesCS7B01G130500,TraesCS7D01G232100,syntenic,TRUE
TraesCS5A01G187100,TraesCS5B01G196800,TraesCS5D01G204000,syntenic,TRUE
TraesCS6A01G312100,TraesCS6B01G342300,TraesCS6D01G291500,syntenic,TRUE
TraesCS2A01G528900,TraesCS2B01G559300,TraesCS2D01G531800,syntenic,TRUE
TraesCS5A01G529000,TraesCS4B01G360700,TraesCS4D01G353700,syntenic,TRUE
TraesCS5A01G528100,TraesCS4B01G359200,TraesCS4D01G352800,syntenic,TRUE
TraesCS3A01G225700,TraesCS3B01G258700,TraesCS3D01G223800,syntenic,TRUE
TraesCS3A01G423100,TraesCS3B01G458700,TraesCS3D01G418300,syntenic,TRUE
TraesCS4A01G228900,TraesCS4B01G087500,TraesCS4D01G084800,syntenic,TRUE
TraesCS4A01G132200,TraesCS4B01G172500,TraesCS4D01G174500,syntenic,TRUE
TraesCS7A01G196300,TraesCS7B01G102000,TraesCS7D01G197800,syntenic,TRUE
TraesCS2A01G160300,TraesCS2B01G186600,TraesCS2D01G167700,syntenic,TRUE
TraesCS2A01G160200,TraesCS2B01G186500,TraesCS2D01G167600,syntenic,TRUE
TraesCS7A01G234700,TraesCS7B01G132900,TraesCS7D01G234700,syntenic,TRUE
TraesCS1A01G379900,TraesCS1B01G401900,TraesCS1D01G387300,syntenic,TRUE
TraesCS4A01G072800,TraesCS4B01G228900,TraesCS4D01G230000,syntenic,TRUE
TraesCS5A01G413300,TraesCS5B01G416700,TraesCS5D01G422000,syntenic,TRUE
TraesCS2A01G566500,TraesCS2B01G630200,TraesCS2D01G576700,syntenic,FALSE
TraesCS5A01G236300,TraesCS5B01G234600,TraesCS5D01G243300,syntenic,TRUE
TraesCS3A01G294700,TraesCS3B01G329300,TraesCS3D01G294800,syntenic,TRUE
TraesCS7A01G489500,TraesCS7B01G392600,TraesCS7D01G475900,syntenic,TRUE
TraesCS2A01G141800,TraesCS2B01G167000,TraesCS2D01G145300,syntenic,TRUE
TraesCS4A01G175400,TraesCS1B01G136000,TraesCS4D01G140700,non-syntenic,TRUE
TraesCS7A01G154800,TraesCS7B01G058900,TraesCS7D01G155000,syntenic,TRUE
TraesCS5A01G242200,TraesCS5B01G240300,TraesCS5D01G248800,syntenic,TRUE
TraesCS3A01G078500,TraesCS3B01G093400,TraesCS3D01G079000,syntenic,TRUE
TraesCS3A01G323000,TraesCS3B01G342700,TraesCS3D01G308500,syntenic,TRUE
TraesCS1A01G090600,TraesCS1B01G118400,TraesCS1D01G099200,syntenic,TRUE
TraesCS5A01G022500,TraesCS5B01G019400,TraesCS5D01G027900,syntenic,FALSE
TraesCS6A01G095700,TraesCS6B01G123800,TraesCS6D01G086400,syntenic,TRUE
TraesCS6A01G095800,TraesCS6B01G123900,TraesCS6D01G086500,syntenic,TRUE
TraesCS2A01G166200,TraesCS2B01G192100,TraesCS2D01G173500,syntenic,TRUE
TraesCS2A01G166300,TraesCS2B01G192200,TraesCS2D01G173600,syntenic,TRUE
TraesCS3A01G269400,TraesCS3B01G303400,TraesCS3D01G269100,syntenic,TRUE
TraesCS5A01G059400,TraesCS5B01G066700,TraesCS5D01G070900,syntenic,TRUE
TraesCS3A01G029800,TraesCS3B01G028700,TraesCS3D01G015800,syntenic,TRUE
TraesCS3A01G485000,TraesCS3B01G532600,TraesCS3D01G480300,syntenic,TRUE
TraesCS1A01G234200,TraesCS1B01G249300,TraesCS1D01G237800,syntenic,TRUE
TraesCS2A01G086800,TraesCS2B01G099900,TraesCS2D01G084100,syntenic,FALSE
TraesCS4A01G016900,TraesCS4B01G287200,TraesCS4D01G286000,syntenic,TRUE
TraesCS7A01G437200,TraesCS7B01G336200,TraesCS7D01G427100,syntenic,TRUE
TraesCS2A01G275200,TraesCS2B01G292800,TraesCS2D01G274200,syntenic,TRUE
TraesCS4A01G413100,TraesCS4B01G313700,TraesCS4D01G310700,syntenic,TRUE
TraesCS5A01G074600,TraesCS5B01G081000,TraesCS5D01G088000,syntenic,TRUE
TraesCS3A01G100100,TraesCS3B01G116900,TraesCS3D01G100800,syntenic,TRUE
TraesCS6A01G399700,TraesCS6B01G439900,TraesCS6D01G383900,syntenic,TRUE
TraesCS6A01G399900,TraesCS6B01G440100,TraesCS6D01G384100,syntenic,TRUE
TraesCS7A01G118000,TraesCS7B01G015000,TraesCS7D01G113500,syntenic,TRUE
TraesCS5A01G126000,TraesCS5B01G125200,TraesCS5D01G133700,syntenic,TRUE
TraesCS5A01G342600,TraesCS5B01G341900,TraesCS5D01G347400,syntenic,TRUE
TraesCS4A01G054800,TraesCS4B01G250200,TraesCS4D01G250100,syntenic,TRUE
TraesCS1A01G383400,TraesCS1B01G409600,TraesCS1D01G391400,syntenic,TRUE
TraesCS4A01G060100,TraesCS4B01G235600,TraesCS4D01G237000,syntenic,TRUE
TraesCS4A01G212000,TraesCS4B01G104200,TraesCS4D01G101200,syntenic,TRUE
TraesCS2A01G151700,TraesCS2B01G176900,TraesCS2D01G156800,syntenic,TRUE
TraesCS4A01G138100,TraesCS4B01G159600,TraesCS4D01G163600,non-syntenic,TRUE
TraesCS2A01G184400,TraesCS2B01G223000,TraesCS2D01G203300,syntenic,TRUE
TraesCS2A01G456600,TraesCS2B01G478700,TraesCS2D01G456900,syntenic,TRUE
TraesCS6A01G261100,TraesCS6B01G288500,TraesCS6D01G241900,syntenic,TRUE
TraesCS7A01G451600,TraesCS7B01G351400,TraesCS7D01G440500,syntenic,TRUE
TraesCS5A01G360600,TraesCS5B01G363300,TraesCS5D01G369900,syntenic,TRUE
TraesCS3A01G240200,TraesCS3B01G268600,TraesCS3D01G240700,syntenic,TRUE
TraesCS2A01G388500,TraesCS2B01G406600,TraesCS2D01G386300,syntenic,TRUE
TraesCS4A01G118200,TraesCS4B01G186200,TraesCS4D01G187300,syntenic,TRUE
TraesCS1A01G147200,TraesCS1B01G165300,TraesCS1D01G145300,syntenic,TRUE
TraesCS1A01G040300,TraesCS1B01G053100,TraesCS1D01G041600,syntenic,TRUE
TraesCS1A01G040200,TraesCS1B01G053000,TraesCS1D01G041700,syntenic,TRUE
TraesCS3A01G511700,TraesCS3B01G579400,TraesCS3D01G519000,syntenic,TRUE
TraesCS3A01G026400,TraesCS3B01G016700,TraesCS3D01G019400,syntenic,TRUE
TraesCS3A01G026200,TraesCS3B01G016600,TraesCS3D01G019500,syntenic,TRUE
TraesCS4A01G043000,TraesCS4B01G263500,TraesCS4D01G263800,syntenic,TRUE
TraesCS4A01G353300,TraesCS5B01G520600,TraesCS5D01G519800,syntenic,TRUE
TraesCS4A01G353100,TraesCS5B01G520400,TraesCS5D01G519600,syntenic,TRUE
TraesCS5A01G370900,TraesCS5B01G373300,TraesCS5D01G380600,syntenic,TRUE
TraesCS4A01G042300,TraesCS4B01G263000,TraesCS4D01G263100,syntenic,TRUE
TraesCS2A01G335300,TraesCS2B01G348600,TraesCS2D01G329600,syntenic,TRUE
TraesCS7A01G559400,TraesCS7B01G484200,TraesCS7D01G550700,syntenic,TRUE
TraesCS6A01G254100,TraesCS6B01G271500,TraesCS6D01G235500,syntenic,TRUE
TraesCS2A01G403800,TraesCS2B01G421800,TraesCS2D01G400900,syntenic,TRUE
TraesCS2A01G233700,TraesCS2B01G249700,TraesCS2D01G231900,syntenic,TRUE
TraesCS6A01G188100,TraesCS6B01G234900,TraesCS6D01G176700,non-syntenic,TRUE
TraesCS2A01G514600,TraesCS2B01G542900,TraesCS2D01G516200,syntenic,TRUE
TraesCS2A01G514800,TraesCS2B01G543100,TraesCS2D01G516300,syntenic,TRUE
TraesCS1A01G396000,TraesCS1B01G424400,TraesCS1D01G404000,syntenic,TRUE
TraesCS4A01G259100,TraesCS4B01G055600,TraesCS4D01G055900,syntenic,TRUE
TraesCS7A01G219600,TraesCS7B01G127800,TraesCS7D01G222600,syntenic,TRUE
TraesCS3A01G148800,TraesCS3B01G176000,TraesCS3D01G156700,syntenic,TRUE
TraesCS2A01G424000,TraesCS2B01G443600,TraesCS2D01G421800,syntenic,TRUE
TraesCS2A01G496100,TraesCS2B01G524400,TraesCS2D01G496400,syntenic,TRUE
TraesCS5A01G165300,TraesCS5B01G162900,TraesCS5D01G170000,syntenic,TRUE
TraesCS7A01G534300,TraesCS7B01G451400,TraesCS7D01G521600,syntenic,TRUE
TraesCS1A01G193600,TraesCS1B01G208600,TraesCS1D01G197500,syntenic,TRUE
TraesCS3A01G232100,TraesCS3B01G261400,TraesCS3D01G221100,syntenic,TRUE
TraesCS2A01G568200,TraesCS2B01G628600,TraesCS2D01G578900,syntenic,TRUE
TraesCS2A01G162900,TraesCS2B01G188700,TraesCS2D01G169800,syntenic,TRUE
TraesCS3A01G219100,TraesCS3B01G249500,TraesCS3D01G233400,syntenic,TRUE
TraesCS4A01G091700,TraesCS4B01G213000,TraesCS4D01G213800,syntenic,TRUE
TraesCS7A01G111400,TraesCS7B01G009300,TraesCS7D01G106500,syntenic,TRUE
TraesCS6A01G267100,TraesCS6B01G294500,TraesCS6D01G247600,syntenic,TRUE
TraesCS3A01G429800,TraesCS3B01G467700,TraesCS3D01G425100,syntenic,TRUE
TraesCS7A01G283700,TraesCS7B01G176700,TraesCS7D01G282300,syntenic,TRUE
TraesCS6A01G080600,TraesCS6B01G108100,TraesCS6D01G074300,syntenic,TRUE
TraesCS2A01G334600,TraesCS2B01G347800,TraesCS2D01G328900,syntenic,TRUE
TraesCS3A01G441200,TraesCS3B01G475200,TraesCS3D01G433900,syntenic,TRUE
TraesCS6A01G315200,TraesCS6B01G345700,TraesCS6D01G294500,syntenic,TRUE
TraesCS7A01G343400,TraesCS7B01G239700,TraesCS7D01G336200,syntenic,TRUE
TraesCS4A01G070900,TraesCS4B01G226900,TraesCS4D01G227600,syntenic,TRUE
TraesCS2A01G125600,TraesCS2B01G148200,TraesCS2D01G128700,syntenic,TRUE
TraesCS1A01G439600,TraesCS1B01G474900,TraesCS1D01G448800,syntenic,TRUE
TraesCS3A01G208400,TraesCS3B01G235400,TraesCS3D01G211200,syntenic,TRUE
TraesCS5A01G548000,TraesCS4B01G382700,TraesCS4D01G357900,syntenic,TRUE
TraesCS2A01G195800,TraesCS2B01G210700,TraesCS2D01G192000,syntenic,TRUE
TraesCS4A01G029400,TraesCS4B01G276500,TraesCS4D01G275100,syntenic,TRUE
TraesCS1A01G376100,TraesCS1B01G396600,TraesCS1D01G383400,syntenic,TRUE
TraesCS4A01G231800,TraesCS4B01G084200,TraesCS4D01G082100,syntenic,TRUE
TraesCS6A01G416300,TraesCS6B01G473000,TraesCS6D01G401500,syntenic,TRUE
TraesCS6A01G322400,TraesCS6B01G353100,TraesCS6D01G302200,syntenic,TRUE
TraesCS7A01G223000,TraesCS7B01G129500,TraesCS7D01G224700,syntenic,TRUE
TraesCS3A01G173100,TraesCS3B01G204000,TraesCS3D01G179500,syntenic,TRUE
TraesCS3A01G298700,TraesCS3B01G337800,TraesCS3D01G303200,syntenic,TRUE
TraesCS5A01G079500,TraesCS5B01G086400,TraesCS5D01G092700,non-syntenic,TRUE
TraesCS5A01G079400,TraesCS5B01G086600,TraesCS5D01G092800,syntenic,TRUE
TraesCS2A01G171300,TraesCS2B01G197700,TraesCS2D01G179000,syntenic,FALSE
TraesCS3A01G530900,TraesCS3B01G601200,TraesCS3D01G536400,syntenic,TRUE
TraesCS3A01G238500,TraesCS3B01G267000,TraesCS3D01G238800,syntenic,TRUE
TraesCS2A01G010100,TraesCS2B01G012500,TraesCS2D01G010700,syntenic,TRUE
TraesCS4A01G187400,TraesCS4B01G131200,TraesCS4D01G126000,syntenic,TRUE
TraesCS7A01G383300,TraesCS7B01G286200,TraesCS7D01G379800,syntenic,TRUE
TraesCS1A01G109500,TraesCS1B01G109000,TraesCS1D01G091200,syntenic,TRUE
TraesCS7A01G131800,TraesCS7B01G032500,TraesCS7D01G131100,syntenic,TRUE
TraesCS2A01G130700,TraesCS2B01G152800,TraesCS2D01G132700,syntenic,TRUE
TraesCS5A01G285600,TraesCS5B01G284800,TraesCS5D01G292900,syntenic,TRUE
TraesCS6A01G368600,TraesCS6B01G404500,TraesCS6D01G352100,syntenic,TRUE
TraesCS5A01G486200,TraesCS5B01G500000,TraesCS5D01G500200,syntenic,TRUE
TraesCS1A01G299500,TraesCS1B01G309300,TraesCS1D01G298400,syntenic,TRUE
TraesCS5A01G313600,TraesCS5B01G314400,TraesCS5D01G320100,syntenic,TRUE
TraesCS6A01G321500,TraesCS6B01G352300,TraesCS6D01G301200,syntenic,TRUE
TraesCS5A01G214400,TraesCS5B01G209400,TraesCS5D01G217600,syntenic,TRUE
TraesCS2A01G143700,TraesCS2B01G168700,TraesCS2D01G147300,syntenic,TRUE
TraesCS2A01G364700,TraesCS2B01G383300,TraesCS2D01G362700,syntenic,TRUE
TraesCS2A01G432800,TraesCS2B01G454100,TraesCS2D01G430800,syntenic,TRUE
TraesCS6A01G269700,TraesCS6B01G297000,TraesCS6D01G245200,syntenic,TRUE
TraesCS6A01G194800,TraesCS6B01G220700,TraesCS6D01G182700,non-syntenic,TRUE
TraesCS3A01G144800,TraesCS3B01G171600,TraesCS3D01G153600,syntenic,TRUE
TraesCS1A01G146200,TraesCS1B01G164300,TraesCS1D01G144700,syntenic,TRUE
TraesCS2A01G076700,TraesCS2B01G091600,TraesCS2D01G075300,syntenic,TRUE
TraesCS6A01G329500,TraesCS6B01G360300,TraesCS6D01G308400,syntenic,TRUE
TraesCS2A01G410500,TraesCS2B01G429300,TraesCS2D01G407900,syntenic,TRUE
TraesCS3A01G201100,TraesCS3B01G224800,TraesCS3D01G204000,syntenic,TRUE
TraesCS4A01G226900,TraesCS4B01G089500,TraesCS4D01G086400,syntenic,TRUE
TraesCS3A01G155600,TraesCS3B01G182100,TraesCS3D01G163100,syntenic,TRUE
TraesCS7A01G312500,TraesCS7B01G212200,TraesCS7D01G308900,syntenic,TRUE
TraesCS2A01G352300,TraesCS2B01G370300,TraesCS2D01G350300,syntenic,TRUE
TraesCS2A01G352600,TraesCS2B01G371700,TraesCS2D01G351600,syntenic,TRUE
TraesCS1A01G046600,TraesCS1B01G060100,TraesCS1D01G047600,non-syntenic,TRUE
TraesCS2A01G282800,TraesCS2B01G300100,TraesCS2D01G281500,syntenic,TRUE
TraesCS2A01G397300,TraesCS2B01G415600,TraesCS2D01G395100,syntenic,TRUE
TraesCS5A01G071500,TraesCS5B01G077600,TraesCS5D01G083900,syntenic,TRUE
TraesCS3A01G150200,TraesCS3B01G177200,TraesCS3D01G158100,syntenic,TRUE
TraesCS3A01G303700,TraesCS1B01G346800,TraesCS1D01G336000,non-syntenic,TRUE
TraesCS6A01G289600,TraesCS6B01G319800,TraesCS6D01G269300,syntenic,TRUE
TraesCS4A01G330300,TraesCS5B01G545100,TraesCS5D01G542400,syntenic,TRUE
TraesCS2A01G528800,TraesCS2B01G559200,TraesCS2D01G531700,syntenic,TRUE
TraesCS6A01G331500,TraesCS6B01G362300,TraesCS6D01G310800,syntenic,TRUE
TraesCS7A01G204800,TraesCS7B01G112000,TraesCS7D01G207800,syntenic,TRUE
TraesCS1A01G325100,TraesCS1B01G338100,TraesCS1D01G325800,syntenic,TRUE
TraesCS3A01G413900,TraesCS3B01G448700,TraesCS3D01G408400,syntenic,TRUE
TraesCS5A01G199400,TraesCS5B01G197800,TraesCS5D01G205100,syntenic,TRUE
TraesCS7A01G460600,TraesCS7B01G361800,TraesCS7D01G448500,syntenic,TRUE
TraesCS3A01G305800,TraesCS3B01G330700,TraesCS3D01G296100,syntenic,TRUE
TraesCS3A01G362300,TraesCS3B01G394800,TraesCS3D01G356000,syntenic,TRUE
TraesCS7A01G397900,TraesCS7B01G298800,TraesCS7D01G392300,syntenic,TRUE
TraesCS7A01G181000,TraesCS7B01G086000,TraesCS7D01G182800,syntenic,TRUE
TraesCS1A01G220200,TraesCS1B01G233500,TraesCS1D01G221700,syntenic,TRUE
TraesCS2A01G206200,TraesCS2B01G233400,TraesCS2D01G209900,syntenic,TRUE
TraesCS7A01G323400,TraesCS7B01G224300,TraesCS7D01G320000,syntenic,TRUE
TraesCS1A01G072200,TraesCS1B01G090600,TraesCS1D01G074600,syntenic,TRUE
TraesCS7A01G117600,TraesCS7B01G014700,TraesCS7D01G113200,syntenic,TRUE
TraesCS6A01G264700,TraesCS6B01G291700,TraesCS6D01G250200,syntenic,TRUE
TraesCS7A01G446400,TraesCS7B01G346100,TraesCS7D01G435500,syntenic,TRUE
TraesCS7A01G446500,TraesCS7B01G346200,TraesCS7D01G435400,syntenic,TRUE
TraesCS5A01G139500,TraesCS5B01G137000,TraesCS5D01G153200,syntenic,TRUE
TraesCS4A01G187100,TraesCS4B01G130800,TraesCS4D01G126400,syntenic,TRUE
TraesCS5A01G065800,TraesCS5B01G072800,TraesCS5D01G077000,syntenic,TRUE
TraesCS5A01G406200,TraesCS5B01G411400,TraesCS5D01G416300,syntenic,TRUE
TraesCS2A01G428100,TraesCS2B01G448500,TraesCS2D01G426100,syntenic,TRUE
TraesCS7A01G158200,TraesCS7B01G062500,TraesCS7D01G158700,syntenic,TRUE
TraesCS6A01G273200,TraesCS6B01G300600,TraesCS6D01G253300,syntenic,TRUE
TraesCS7A01G233100,TraesCS7B01G131600,TraesCS7D01G233200,non-syntenic,TRUE
TraesCS5A01G333600,TraesCS5B01G333300,TraesCS5D01G338600,syntenic,FALSE
TraesCS5A01G334000,TraesCS5B01G333600,TraesCS5D01G338700,syntenic,TRUE
TraesCS4A01G176200,TraesCS4B01G141500,TraesCS4D01G136500,syntenic,TRUE
TraesCS7A01G173000,TraesCS7B01G078300,TraesCS7D01G174300,syntenic,TRUE
TraesCS4A01G282600,TraesCS4B01G030700,TraesCS4D01G028200,syntenic,FALSE
TraesCS2A01G217200,TraesCS2B01G242500,TraesCS2D01G223000,syntenic,TRUE
TraesCS2A01G562800,TraesCS2B01G623700,TraesCS2D01G572600,syntenic,TRUE
TraesCS5A01G082900,TraesCS5B01G089000,TraesCS5D01G095300,syntenic,TRUE
TraesCS4A01G103200,TraesCS4B01G200900,TraesCS4D01G201900,syntenic,TRUE
TraesCS4A01G048400,TraesCS4B01G256400,TraesCS4D01G256300,syntenic,TRUE
TraesCS5A01G366900,TraesCS5B01G369200,TraesCS5D01G376100,syntenic,TRUE
